id	ratio	positive	negetive	num	라벨링	등락률
20210507	31.71	39	84	123	0	-4.964539007092199
20210430	25.53	156	455	611	0	-3.932203389830508
20210429	24.93	94	283	377	0	-13.235294117647062
20210416	18.0	9	41	50	0	-3.1976744186046515
20210407	43.86	25	32	57	1	3.5265989240884634
20210406	38.24	13	21	34	0	-3.739930955120829
20210405	23.08	3	10	13	1	5.653495440729484
20210324	30.77	4	9	13	1	3.2015065913371004
20210318	23.08	3	10	13	1	4.133333333333333
20210312	30.43	14	32	46	1	8.38192419825073
20210305	28.57	4	10	14	0	-2.9202279202279198
20210303	59.09	13	9	22	0	-2.53077975376197
20210302	43.48	10	13	23	1	3.1029619181946404
20210225	47.62	10	11	21	0	-3.755215577190543
20210223	26.92	7	19	26	0	-3.7542662116040963
20210222	35.48	11	20	31	0	-3.6184210526315774
20210219	14.29	1	6	7	0	-4.5825486503452595
20210208	39.58	19	29	48	0	-5.442583732057416
20210205	25.58	11	32	43	1	6.158730158730159
20210203	26.67	8	22	30	0	-3.0432136335970785
20210202	14.29	3	18	21	1	2.7517198248905568
20210128	47.83	11	12	23	0	-3.786057692307692
20210127	30.77	8	18	26	0	-3.0303030303030303
20210121	26.32	5	14	19	1	2.9958058717795084
20210108	30.77	4	9	13	1	2.5
20201228	0.0	0	8	8	1	4.852459016393444
20201223	33.33	6	12	18	1	4.284727021423636
20201218	23.53	4	13	17	0	-2.6143790849673203
20201209	16.67	4	20	24	1	3.6217303822937614
20201204	37.62	38	63	101	0	-4.15335463258786
20201203	25.38	84	247	331	1	3.711066931742877
20201202	48.57	17	18	35	1	6.192821956368754
20201201	15.0	3	17	20	1	6.044776119402987
20201126	31.58	6	13	19	1	6.730769230769233
20201124	54.76	23	19	42	0	-2.803738317757009
20201120	45.0	9	11	20	1	7.1015689512799325
20201119	30.0	6	14	20	1	3.1516183986371376
20201116	42.86	3	4	7	0	-3.360655737704918
20201110	20.0	2	8	10	1	2.585487906588824
20201109	50.0	4	4	8	0	-3.0719482619240086
20201106	25.0	2	6	8	1	4.212299915754001
20201030	50.0	1	1	2	1	6.810035842293908
20201029	25.0	2	6	8	0	-3.7931034482758617
20201021	58.33	7	5	12	0	-3.3707865168539324
20201014	66.67	2	1	3	0	-3.79746835443038
20200929	0.0	0	2	2	1	3.4031413612565444
20200925	50.0	6	6	12	1	3.0
20200916	17.65	3	14	17	0	-3.2019704433497536
20200901	33.33	5	10	15	1	10.770577933450088
20200831	16.67	1	5	6	1	2.7902790279027903
20200821	40.0	2	3	5	1	2.7052238805970146
20200819	7.69	1	12	13	0	-3.901996370235935
20200814	33.33	1	2	3	0	-7.888040712468192
20200810	45.45	5	6	11	0	-6.4851881505204165
20200731	18.18	2	9	11	1	3.2338308457711435
20200724	0.0	0	2	2	0	-3.0278884462151394
20200716	50.0	3	3	6	1	2.9197080291970803
20200714	50.0	2	2	4	0	-3.268482490272373
20200706	35.71	5	9	14	0	-3.0882352941176467
20200703	0.0	0	1	1	1	10.121457489878543
20200701	40.0	2	3	5	1	8.849557522123892
20200630	35.29	6	11	17	0	-3.91156462585034
20200629	0.0	0	2	2	1	8.38709677419355
20200626	0.0	0	3	3	1	3.333333333333333
20200624	33.33	1	2	3	0	-4.018691588785047
20200615	0.0	0	2	2	1	4.554455445544554
20200612	0.0	0	3	3	0	-4.4465468306527915
20200227	50.0	1	1	2	1	6.299212598425196
20200205	0.0	0	5	5	1	2.9268292682926833
20200130	0.0	0	1	1	0	-3.0476190476190474
20200123	40.0	2	3	5	0	-3.7822878228782284
20200110	33.33	3	6	9	1	4.039408866995074
20200103	100.0	3	0	3	0	-3.272377285851781
20191224	100.0	1	0	1	1	3.5137701804368464
20191121	57.14	4	3	7	1	2.538071065989848
20191107	20.0	1	4	5	1	2.88659793814433
20191030	14.29	2	12	14	1	5.698924731182796
20191029	25.0	1	3	4	0	-3.7267080745341614
20191021	0.0	0	2	2	1	9.691629955947137
20191010	33.33	2	4	6	0	-2.7837259100642395
20190902	15.38	2	11	13	0	-3.5051546391752577
20190830	0.0	0	2	2	1	3.191489361702128
20190823	0.0	0	1	1	0	-2.8729281767955803
20190816	0.0	0	3	3	1	3.057757644394111
20190809	12.5	1	7	8	1	3.016241299303944
20190806	33.33	2	4	6	1	4.202719406674906
20190802	0.0	0	8	8	0	-6.628571428571428
20190726	12.5	1	7	8	0	-3.296703296703297
20190702	37.5	3	5	8	0	-2.9116465863453818
20190621	25.0	1	3	4	0	-2.9608404966571165
20190619	0.0	0	2	2	1	3.6597428288822944
20190617	16.67	1	5	6	1	6.165099268547545
20190604	0.0	0	2	2	1	2.683178534571723
20190527	17.65	3	14	17	1	3.548387096774193
20190524	0.0	0	1	1	0	-3.5269709543568464
20190520	50.0	2	2	4	1	3.09278350515464
20190517	0.0	0	3	3	0	-2.708124373119358
20190509	22.22	2	7	9	1	4.253112033195022
20190508	16.67	1	5	6	0	-3.503503503503504
20190325	25.0	5	15	20	1	2.9000000000000004
20190312	30.77	4	9	13	0	-7.59493670886076
20190308	47.06	8	9	17	0	-4.104803493449782
20190307	24.62	16	49	65	1	2.5067144136078783
20190306	29.41	5	12	17	0	-5.3389830508474585
20190228	40.0	8	12	20	0	-4.351395730706075
