id	ratio	positive	negetive	num	라벨링	등락률
20210507	31.71	39	84	123	0	-4.964539007092199
20210430	25.53	156	455	611	0	-3.932203389830508
20210429	24.93	94	283	377	0	-13.235294117647062
20210416	18.0	9	41	50	0	-3.1976744186046515
20210406	38.24	13	21	34	0	-3.739930955120829
20210305	28.57	4	10	14	0	-2.9202279202279198
20210303	59.09	13	9	22	0	-2.53077975376197
20210225	47.62	10	11	21	0	-3.755215577190543
20210223	26.92	7	19	26	0	-3.7542662116040963
20210222	35.48	11	20	31	0	-3.6184210526315774
20210219	14.29	1	6	7	0	-4.5825486503452595
20210208	39.58	19	29	48	0	-5.442583732057416
20210203	26.67	8	22	30	0	-3.0432136335970785
20210128	47.83	11	12	23	0	-3.786057692307692
20210127	30.77	8	18	26	0	-3.0303030303030303
20201218	23.53	4	13	17	0	-2.6143790849673203
20201204	37.62	38	63	101	0	-4.15335463258786
20201124	54.76	23	19	42	0	-2.803738317757009
20201116	42.86	3	4	7	0	-3.360655737704918
20201109	50.0	4	4	8	0	-3.0719482619240086
20201029	25.0	2	6	8	0	-3.7931034482758617
20201021	58.33	7	5	12	0	-3.3707865168539324
20201014	66.67	2	1	3	0	-3.79746835443038
20200916	17.65	3	14	17	0	-3.2019704433497536
20200819	7.69	1	12	13	0	-3.901996370235935
20200814	33.33	1	2	3	0	-7.888040712468192
20200810	45.45	5	6	11	0	-6.4851881505204165
20200724	0.0	0	2	2	0	-3.0278884462151394
20200714	50.0	2	2	4	0	-3.268482490272373
20200706	35.71	5	9	14	0	-3.0882352941176467
20200630	35.29	6	11	17	0	-3.91156462585034
20200624	33.33	1	2	3	0	-4.018691588785047
20200612	0.0	0	3	3	0	-4.4465468306527915
20200130	0.0	0	1	1	0	-3.0476190476190474
20200123	40.0	2	3	5	0	-3.7822878228782284
20200103	100.0	3	0	3	0	-3.272377285851781
20191029	25.0	1	3	4	0	-3.7267080745341614
20191010	33.33	2	4	6	0	-2.7837259100642395
20190902	15.38	2	11	13	0	-3.5051546391752577
20190823	0.0	0	1	1	0	-2.8729281767955803
20190802	0.0	0	8	8	0	-6.628571428571428
20190726	12.5	1	7	8	0	-3.296703296703297
20190702	37.5	3	5	8	0	-2.9116465863453818
20190621	25.0	1	3	4	0	-2.9608404966571165
20190524	0.0	0	1	1	0	-3.5269709543568464
20190517	0.0	0	3	3	0	-2.708124373119358
20190508	16.67	1	5	6	0	-3.503503503503504
20190312	30.77	4	9	13	0	-7.59493670886076
20190308	47.06	8	9	17	0	-4.104803493449782
20190306	29.41	5	12	17	0	-5.3389830508474585
20190228	40.0	8	12	20	0	-4.351395730706075
20190218	16.67	1	5	6	0	-2.5223759153783565
20190111	18.75	6	26	32	0	-4.828797190517999
20190109	40.0	6	9	15	0	-5.5053410024650775
20190107	0.0	0	3	3	0	-2.713487629688747
20181228	37.5	3	5	8	0	-3.1007751937984502
20181213	30.77	8	18	26	0	-10.094408133623821
20181210	37.5	3	5	8	0	-5.720338983050849
20181203	20.0	1	4	5	0	-2.689655172413793
20181113	46.15	6	7	13	0	-3.5771065182829886
20181106	33.33	3	6	9	0	-11.824080749819752
20181031	42.11	8	11	19	0	-4.839968774395004
20181026	44.44	4	5	9	0	-6.0583941605839415
20181025	20.0	1	4	5	0	-2.629708599857853
20181023	50.0	3	3	6	0	-3.050847457627119
20181012	80.0	4	1	5	0	-3.6501377410468323
20181010	21.43	3	11	14	0	-3.155680224403927
20181008	33.33	1	2	3	0	-3.8435603506405935
20180921	25.0	1	3	4	0	-5.4874112330535825
20180913	33.33	3	6	9	0	-4.183266932270916
20180904	0.0	0	4	4	0	-4.088050314465408
20180827	0.0	0	1	1	0	-3.6821705426356592
20180821	33.33	1	2	3	0	-2.8457974851091987
20180810	41.67	5	7	12	0	-3.0985915492957745
20180807	25.0	1	3	4	0	-5.613577023498695
20180727	18.03	11	50	61	0	-4.9375
20180726	100.0	1	0	1	0	-5.882352941176469
20180720	25.0	1	3	4	0	-4.211150652431791
20180719	25.0	1	3	4	0	-2.991944764096663
20180713	0.0	0	2	2	0	-4.175824175824175
20180710	50.0	2	2	4	0	-2.6463963963963963
20180629	75.0	3	1	4	0	-2.5
20180627	100.0	4	0	4	0	-4.018369690011482
20180620	50.0	4	4	8	0	-2.6112759643916914
20180615	33.33	2	4	6	0	-5.436668594563332
20180612	0.0	0	5	5	0	-6.787814003206841
20180531	100.0	5	0	5	0	-2.7676240208877285
20180511	22.22	2	7	9	0	-4.96054114994363
20180504	0.0	0	7	7	0	-2.93040293040293
20180427	0.0	0	3	3	0	-2.735562310030395
20180425	0.0	0	5	5	0	-3.68389780154486
20180420	33.33	1	2	3	0	-3.5858877964141125
20180411	60.0	6	4	10	0	-3.0778164924506384
20180410	33.33	2	4	6	0	-3.4212002243409985
20180330	25.0	2	6	8	0	-3.5886448848419925
20180322	33.33	2	4	6	0	-6.702702702702703
20180302	57.14	4	3	7	0	-4.002463054187191
20180209	16.67	2	10	12	0	-3.445899379738112
20180208	30.77	4	9	13	0	-2.6174496644295298
20180202	30.77	4	9	13	0	-5.7142857142857135
20180130	22.22	2	7	9	0	-2.9960053262316912
20180129	0.0	0	3	3	0	-2.5308241401687206
20180126	28.0	7	18	25	0	-3.142677561282212
