id	ratio	positive	negetive	num	라벨링	등락률
20210407	43.86	25	32	57	1	3.5265989240884634
20210405	23.08	3	10	13	1	5.653495440729484
20210324	30.77	4	9	13	1	3.2015065913371004
20210318	23.08	3	10	13	1	4.133333333333333
20210312	30.43	14	32	46	1	8.38192419825073
20210302	43.48	10	13	23	1	3.1029619181946404
20210205	25.58	11	32	43	1	6.158730158730159
20210202	14.29	3	18	21	1	2.7517198248905568
20210121	26.32	5	14	19	1	2.9958058717795084
20210108	30.77	4	9	13	1	2.5
20201228	0.0	0	8	8	1	4.852459016393444
20201223	33.33	6	12	18	1	4.284727021423636
20201209	16.67	4	20	24	1	3.6217303822937614
20201203	25.38	84	247	331	1	3.711066931742877
20201202	48.57	17	18	35	1	6.192821956368754
20201201	15.0	3	17	20	1	6.044776119402987
20201126	31.58	6	13	19	1	6.730769230769233
20201120	45.0	9	11	20	1	7.1015689512799325
20201119	30.0	6	14	20	1	3.1516183986371376
20201110	20.0	2	8	10	1	2.585487906588824
20201106	25.0	2	6	8	1	4.212299915754001
20201030	50.0	1	1	2	1	6.810035842293908
20200929	0.0	0	2	2	1	3.4031413612565444
20200925	50.0	6	6	12	1	3.0
20200901	33.33	5	10	15	1	10.770577933450088
20200831	16.67	1	5	6	1	2.7902790279027903
20200821	40.0	2	3	5	1	2.7052238805970146
20200731	18.18	2	9	11	1	3.2338308457711435
20200716	50.0	3	3	6	1	2.9197080291970803
20200703	0.0	0	1	1	1	10.121457489878543
20200701	40.0	2	3	5	1	8.849557522123892
20200629	0.0	0	2	2	1	8.38709677419355
20200626	0.0	0	3	3	1	3.333333333333333
20200615	0.0	0	2	2	1	4.554455445544554
20200227	50.0	1	1	2	1	6.299212598425196
20200205	0.0	0	5	5	1	2.9268292682926833
20200110	33.33	3	6	9	1	4.039408866995074
20191224	100.0	1	0	1	1	3.5137701804368464
20191121	57.14	4	3	7	1	2.538071065989848
20191107	20.0	1	4	5	1	2.88659793814433
20191030	14.29	2	12	14	1	5.698924731182796
20191021	0.0	0	2	2	1	9.691629955947137
20190830	0.0	0	2	2	1	3.191489361702128
20190816	0.0	0	3	3	1	3.057757644394111
20190809	12.5	1	7	8	1	3.016241299303944
20190806	33.33	2	4	6	1	4.202719406674906
20190619	0.0	0	2	2	1	3.6597428288822944
20190617	16.67	1	5	6	1	6.165099268547545
20190604	0.0	0	2	2	1	2.683178534571723
20190527	17.65	3	14	17	1	3.548387096774193
20190520	50.0	2	2	4	1	3.09278350515464
20190509	22.22	2	7	9	1	4.253112033195022
20190325	25.0	5	15	20	1	2.9000000000000004
20190307	24.62	16	49	65	1	2.5067144136078783
20190215	40.0	2	3	5	1	2.5876460767946576
20190207	40.0	2	3	5	1	6.707317073170732
20190130	23.08	3	10	13	1	3.3363390441839496
20190117	29.17	7	17	24	1	3.832116788321168
20190114	26.39	19	53	72	1	3.1365313653136533
20181218	50.0	11	11	22	1	7.641741988496302
20181206	0.0	0	4	4	1	3.548153511947864
20181130	71.43	5	2	7	1	2.8368794326241136
20181126	25.0	1	3	4	1	4.0983606557377055
20181116	50.0	4	4	8	1	5.439005439005438
20181114	25.93	7	20	27	1	5.853256389117888
20181102	33.33	5	10	15	1	4.452830188679245
20181101	26.56	17	47	64	1	8.695652173913043
20181019	50.0	5	5	10	1	2.7210884353741496
20181018	42.86	3	4	7	1	3.1578947368421053
20181016	41.18	7	10	17	1	2.517985611510792
20181011	50.0	4	4	8	1	5.141202027516291
20181001	0.0	0	2	2	1	4.12087912087912
20180918	50.0	1	1	2	1	3.7983425414364635
20180830	25.0	1	3	4	1	6.416382252559727
20180820	50.0	1	1	2	1	6.035087719298246
20180813	30.77	4	9	13	1	4.142441860465117
20180802	28.57	2	5	7	1	2.599090318388564
20180731	12.5	1	7	8	1	2.9624753127057275
20180724	33.33	1	2	3	1	3.626306084818685
20180711	100.0	1	0	1	1	5.205320994794679
20180702	33.33	1	2	3	1	3.9682539682539684
20180622	33.33	2	4	6	1	3.281519861830743
20180621	37.5	3	5	8	1	5.850091407678245
20180619	20.0	2	8	10	1	2.9951100244498776
20180608	80.0	4	1	5	1	3.5812672176308538
20180529	60.0	3	2	5	1	2.717391304347826
20180523	100.0	1	0	1	1	3.747203579418344
20180518	0.0	0	0	0	1	3.206997084548105
