id	ratio	positive	negetive	num	라벨링	등락률
20100106	35.48	11	20	31	0	-3.90418986229124
20100107	33.33	3	6	9	1	3.7274182483420986
20100108	33.33	2	4	6	0	-2.9394473838918285
20100111	86.96	20	3	23	1	2.687764990914597
20100113	20.0	1	4	5	1	3.963188362772748
20100115	88.89	8	1	9	1	6.4352856109906
20100118	43.75	7	9	16	0	-3.0230978260869565
20100119	52.63	10	9	19	0	-4.049036777583188
20100122	50.0	2	2	4	0	-5.859947260474657
20100125	75.0	3	1	4	0	-3.804855275443511
20100126	77.27	17	5	22	1	3.955350643047804
20100127	50.0	5	5	10	0	-3.4624961095549334
20100128	25.0	4	12	16	0	-8.599983880067704
20100129	0.0	0	5	5	1	3.130511463844797
20100202	87.5	14	2	16	1	3.819414642519957
20100204	40.0	2	3	5	0	-7.269605037206642
20100210	46.67	7	8	15	1	4.6275395033860045
20100211	45.45	5	6	11	1	14.762260393328354
20100217	89.29	25	3	28	1	3.86117136659436
20100218	28.57	4	10	14	0	-8.66750208855472
20100219	75.0	9	3	12	1	3.0490128820794267
20100223	75.0	6	2	8	0	-3.2916635845846587
20100224	50.0	6	6	12	0	-6.119014838610983
20100226	50.0	2	2	4	1	6.550004088641753
20100303	16.67	1	5	6	0	-2.6863869604587984
20100308	66.67	2	1	3	1	3.0184123151222457
20100311	50.0	1	1	2	1	3.0184123151222457
20100317	70.0	7	3	10	1	4.376135675348274
20100322	50.0	3	3	6	1	2.9109962884797316
20100323	75.0	3	1	4	0	-4.0874054168729215
20100326	90.0	9	1	10	0	-3.90418986229124
20100329	88.89	8	1	9	0	-3.7350407805472976
20100331	56.25	9	7	16	1	4.950337703615415
20100401	73.33	11	4	15	0	-5.3906723198061774
20100408	100.0	4	0	4	1	4.4512899499422405
20100416	50.0	4	4	8	0	-3.0566354142846253
20100421	33.33	3	6	9	0	-3.0566354142846253
20100423	91.67	22	2	24	1	5.609910052075113
20100427	66.67	2	1	3	1	7.892595606183889
20100429	30.0	6	14	20	1	5.775408379468253
20100430	76.92	10	3	13	1	2.8689583871801503
20100504	72.73	8	3	11	0	-2.8365169616048043
20100506	18.18	2	9	11	1	7.600762706292327
20100507	81.82	18	4	22	1	3.263061411549037
20100510	73.91	17	6	23	0	-5.793242203680693
20100511	70.0	7	3	10	0	-2.512562814070352
20100512	77.78	7	2	9	1	4.871134020618557
20100513	63.64	7	4	11	1	2.7340869992627184
20100514	80.0	4	1	5	0	-7.977991746905088
20100518	92.86	13	1	14	1	5.933172405031128
20100519	66.67	6	3	9	0	-8.797073638762292
20100520	84.62	11	2	13	0	-2.9258991386678934
20100524	21.05	4	15	19	0	-3.616905987537253
20100528	83.33	10	2	12	1	4.53125
20100531	60.0	6	4	10	0	-3.4704620783778517
20100607	100.0	5	0	5	1	5.8287921638959785
20100616	81.82	9	2	11	1	3.9746939898225833
20100624	50.0	1	1	2	0	-2.819681376004512
20100625	88.89	8	1	9	0	-4.838241694472654
20100719	66.67	4	2	6	0	-6.0793446835849645
20100721	55.56	5	4	9	0	-4.618578100674624
20100726	21.21	7	26	33	0	-7.292425345957756
20100728	33.33	1	2	3	0	-3.0406726632772783
20100804	55.56	5	4	9	0	-3.606158833063209
20100805	0.0	0	4	4	0	-3.268179907524169
20100806	66.67	2	1	3	1	5.312330255296035
20100810	50.0	1	1	2	0	-3.638965552489012
20100812	92.31	12	1	13	1	4.754256344362351
20100818	85.71	12	2	14	1	7.086029489763446
20100824	71.43	5	2	7	0	-2.6448736998514115
20100826	87.5	7	1	8	0	-2.741554574391621
20100827	60.0	3	2	5	1	4.222972972972973
20100902	71.43	5	2	7	1	3.0945273631840795
20100907	50.0	1	1	2	1	2.854520422212024
20100908	75.0	6	2	8	1	5.559521684811708
20100910	86.67	13	2	15	0	-2.669298772637542
20100913	14.29	1	6	7	0	-2.751322751322751
20100914	100.0	1	0	1	1	3.6361987667754807
20100927	100.0	2	0	2	0	-4.101004515712837
20100928	40.0	2	3	5	1	2.988660388237556
20101001	92.86	13	1	14	0	-2.8086336132935963
20101005	100.0	1	0	1	1	2.9138948749180176
20101012	100.0	1	0	1	1	14.346712211784794
20101014	46.15	6	7	13	1	3.3313900224868824
20101015	60.0	3	2	5	1	4.304021923107923
20101021	15.38	2	11	13	0	-2.6333308676677274
20101022	91.67	11	1	12	0	-2.7045506343538714
20101026	66.67	8	4	12	1	8.071642733154489
20101029	0.0	0	2	2	0	-3.535791757049892
20101102	60.0	9	6	15	1	5.445923206363777
20101103	33.33	2	4	6	1	4.192659219498041
20101111	95.24	20	1	21	0	-6.981724728726442
20101112	100.0	15	0	15	0	-5.118956254796623
20101115	57.14	4	3	7	1	2.8714713257300013
20101117	78.95	30	8	38	1	6.456032884661885
20101125	100.0	4	0	4	0	-3.535955502582439
20101126	81.25	13	3	16	0	-2.5617792421746293
20101203	72.73	8	3	11	1	6.391072787217853
20101210	85.71	6	1	7	1	5.598364522723698
20101215	42.86	3	4	7	0	-6.036824630244492
20101216	0.0	0	1	1	0	-3.5737230966912947
20101222	33.33	1	2	3	0	-3.0095527939808937
20101227	100.0	1	0	1	1	3.2023027795268506
