id	ratio	positive	negetive	num	라벨링	등락률
20100107	25.0	1	3	4	1	3.7274182483420986
20100111	80.0	4	1	5	1	2.687764990914597
20100113	25.0	1	3	4	1	3.963188362772748
20100115	50.0	1	1	2	1	6.4352856109906
20100126	62.5	5	3	8	1	3.955350643047804
20100129	0.0	0	5	5	1	3.130511463844797
20100202	90.0	9	1	10	1	3.819414642519957
20100210	60.0	3	2	5	1	4.6275395033860045
20100211	57.14	4	3	7	1	14.762260393328354
20100217	80.0	8	2	10	1	3.86117136659436
20100219	40.0	2	3	5	1	3.0490128820794267
20100226	33.33	1	2	3	1	6.550004088641753
20100308	100.0	3	0	3	1	3.0184123151222457
20100311	50.0	1	1	2	1	3.0184123151222457
20100317	83.33	5	1	6	1	4.376135675348274
20100322	66.67	2	1	3	1	2.9109962884797316
20100331	33.33	1	2	3	1	4.950337703615415
20100408	100.0	4	0	4	1	4.4512899499422405
20100423	90.0	9	1	10	1	5.609910052075113
20100427	50.0	1	1	2	1	7.892595606183889
20100429	40.0	4	6	10	1	5.775408379468253
20100430	66.67	2	1	3	1	2.8689583871801503
20100506	33.33	1	2	3	1	7.600762706292327
20100507	70.0	7	3	10	1	3.263061411549037
20100512	0.0	0	1	1	1	4.871134020618557
20100513	50.0	1	1	2	1	2.7340869992627184
20100518	80.0	4	1	5	1	5.933172405031128
20100528	80.0	8	2	10	1	4.53125
20100607	100.0	4	0	4	1	5.8287921638959785
20100616	85.71	6	1	7	1	3.9746939898225833
20100806	50.0	1	1	2	1	5.312330255296035
20100812	100.0	3	0	3	1	4.754256344362351
20100818	33.33	1	2	3	1	7.086029489763446
20100827	66.67	2	1	3	1	4.222972972972973
20100902	50.0	1	1	2	1	3.0945273631840795
20100907	50.0	1	1	2	1	2.854520422212024
20100908	80.0	4	1	5	1	5.559521684811708
20100914	100.0	1	0	1	1	3.6361987667754807
20100928	100.0	3	0	3	1	2.988660388237556
20101005	100.0	1	0	1	1	2.9138948749180176
20101012	100.0	1	0	1	1	14.346712211784794
20101014	66.67	2	1	3	1	3.3313900224868824
20101015	50.0	2	2	4	1	4.304021923107923
