id	ratio	positive	negetive	num	라벨링	등락률
20100106	35.71	5	9	14	0	-3.90418986229124
20100108	0.0	0	5	5	0	-2.9394473838918285
20100118	40.0	4	6	10	0	-3.0230978260869565
20100119	33.33	3	6	9	0	-4.049036777583188
20100122	50.0	2	2	4	0	-5.859947260474657
20100125	0.0	0	3	3	0	-3.804855275443511
20100127	28.57	2	5	7	0	-3.4624961095549334
20100128	57.14	4	3	7	0	-8.599983880067704
20100204	60.0	3	2	5	0	-7.269605037206642
20100218	57.14	4	3	7	0	-8.66750208855472
20100223	28.57	2	5	7	0	-3.2916635845846587
20100224	50.0	1	1	2	0	-6.119014838610983
20100303	0.0	0	4	4	0	-2.6863869604587984
20100323	66.67	2	1	3	0	-4.0874054168729215
20100326	50.0	2	2	4	0	-3.90418986229124
20100329	66.67	4	2	6	0	-3.7350407805472976
20100401	71.43	5	2	7	0	-5.3906723198061774
20100416	16.67	1	5	6	0	-3.0566354142846253
20100421	0.0	0	5	5	0	-3.0566354142846253
20100504	25.0	1	3	4	0	-2.8365169616048043
20100510	58.33	7	5	12	0	-5.793242203680693
20100511	30.0	3	7	10	0	-2.512562814070352
20100514	66.67	2	1	3	0	-7.977991746905088
20100519	20.0	1	4	5	0	-8.797073638762292
20100520	33.33	2	4	6	0	-2.9258991386678934
20100524	33.33	2	4	6	0	-3.616905987537253
20100531	28.57	2	5	7	0	-3.4704620783778517
20100624	50.0	1	1	2	0	-2.819681376004512
20100625	100.0	2	0	2	0	-4.838241694472654
20100719	80.0	4	1	5	0	-6.0793446835849645
20100721	40.0	2	3	5	0	-4.618578100674624
20100726	0.0	0	14	14	0	-7.292425345957756
20100728	33.33	1	2	3	0	-3.0406726632772783
20100804	57.14	4	3	7	0	-3.606158833063209
20100805	0.0	0	4	4	0	-3.268179907524169
20100810	50.0	1	1	2	0	-3.638965552489012
20100824	0.0	0	2	2	0	-2.6448736998514115
20100826	100.0	1	0	1	0	-2.741554574391621
20100910	0.0	0	2	2	0	-2.669298772637542
20100913	33.33	2	4	6	0	-2.751322751322751
20100927	100.0	2	0	2	0	-4.101004515712837
20101001	60.0	3	2	5	0	-2.8086336132935963
20101021	66.67	2	1	3	0	-2.6333308676677274
20101022	0.0	0	2	2	0	-2.7045506343538714
20101029	0.0	0	2	2	0	-3.535791757049892
20101111	66.67	4	2	6	0	-6.981724728726442
20101112	100.0	2	0	2	0	-5.118956254796623
20101125	25.0	1	3	4	0	-3.535955502582439
20101126	42.86	3	4	7	0	-2.5617792421746293
20101215	28.57	2	5	7	0	-6.036824630244492
20101216	0.0	0	1	1	0	-3.5737230966912947
20101222	33.33	1	2	3	0	-3.0095527939808937
20110120	33.33	1	2	3	0	-5.475548710050059
20110124	33.33	1	2	3	0	-4.625480153649168
20110126	50.0	2	2	4	0	-2.964937120013325
20110214	0.0	0	3	3	0	-13.04772909074749
20110215	28.57	2	5	7	0	-3.178983951753041
20110221	100.0	1	0	1	0	-2.7046191247974067
20110223	50.0	1	1	2	0	-3.7940957049984014
20110310	30.77	4	9	13	0	-3.1393298059964727
20110311	27.27	3	8	11	0	-7.292425345957756
20110314	12.5	1	7	8	0	-3.9281154865953054
20110316	0.0	0	2	2	0	-3.6223036223036233
20110406	66.67	2	1	3	0	-2.5122318404215283
20110418	66.67	2	1	3	0	-3.3779295948382204
20110421	75.0	6	2	8	0	-2.610481032459914
20110422	100.0	2	0	2	0	-4.015661078205
20110425	33.33	2	4	6	0	-4.18366279677858
20110613	80.0	4	1	5	0	-2.6567164179104483
20110706	0.0	0	2	2	0	-3.2808036125702698
20110719	33.33	2	4	6	0	-2.989977259327887
20110804	61.54	8	5	13	0	-4.856718981806824
20110805	0.0	0	1	1	0	-10.225687320475995
20110808	38.46	5	8	13	0	-13.008501691196635
20110816	50.0	5	5	10	0	-2.5823298998984483
20110818	66.67	4	2	6	0	-11.465196218848467
20110819	16.67	1	5	6	0	-5.75911995470355
20110824	22.22	2	7	9	0	-10.967648338894527
20110905	52.38	11	10	21	0	-5.292828061384278
20110908	22.22	2	7	9	0	-2.8122843340234644
20110914	50.0	2	2	4	0	-5.2116882356385785
20110923	52.38	11	10	21	0	-14.02151983860121
20111004	37.5	3	5	8	0	-11.77692683721688
20111005	0.0	0	8	8	0	-5.748718659094057
20111010	58.82	10	7	17	0	-3.068755664897061
20111019	30.0	3	7	10	0	-7.268450221283042
20111027	0.0	0	4	4	0	-12.343206493095815
20111114	44.44	4	5	9	0	-6.237912858822192
20111115	37.5	3	5	8	0	-4.6792849631966345
20111117	50.0	1	1	2	0	-3.454761028660206
20111122	0.0	0	5	5	0	-5.342057313235051
20111129	53.33	8	7	15	0	-3.356267830172848
20111202	28.57	2	5	7	0	-2.8515240904621435
20111205	0.0	0	4	4	0	-4.8891040309804605
20111208	37.5	3	5	8	0	-2.7191042950557467
20111213	60.0	3	2	5	0	-5.8329286061194745
20111214	80.0	4	1	5	0	-6.653257001392541
20111216	33.33	3	6	9	0	-10.552375058022587
20111226	33.33	1	2	3	0	-6.480662120660037
20120117	20.0	1	4	5	0	-2.819966450559913
20120119	60.0	3	2	5	0	-3.811338732729872
20120126	29.41	5	12	17	0	-4.203770956668822
20120127	23.08	3	10	13	0	-4.3882426256751135
20120202	50.0	4	4	8	0	-2.8864864864864863
20120203	40.0	4	6	10	0	-7.920516531225648
20120221	16.67	1	5	6	0	-3.4536368684064414
20120222	0.0	0	5	5	0	-3.0710835058661146
20120224	33.33	2	4	6	0	-3.0732860520094563
20120227	40.0	2	3	5	0	-2.908982748364069
20120305	11.11	1	8	9	0	-3.4476588130032813
20120322	57.14	4	3	7	0	-6.036416757969429
20120327	0.0	0	4	4	0	-6.324889205011762
20120328	14.29	1	6	7	0	-2.599147246072075
20120403	55.56	5	4	9	0	-4.207948346877435
20120410	37.5	6	10	16	0	-2.69341553388246
20120424	37.5	3	5	8	0	-8.628747795414464
20120427	70.0	7	3	10	0	-4.384770668043754
20120502	25.0	2	6	8	0	-2.8648946932769244
20120504	36.36	8	14	22	0	-2.819966450559913
20120515	44.0	11	14	25	0	-3.866213151927437
20120517	60.0	9	6	15	0	-5.658412404535987
20120522	52.94	9	8	17	0	-3.2175264813275004
20120524	48.0	12	13	25	0	-4.1263126646628825
20120618	38.89	7	11	18	0	-7.100527668786363
20120627	14.29	2	12	14	0	-3.61562110933252
20120628	33.33	6	12	18	0	-3.8698792639848167
20120709	40.0	6	9	15	0	-3.734190885310424
20120712	62.5	5	3	8	0	-3.5673101027826526
20120713	30.0	3	7	10	0	-5.664595627420907
20120717	28.57	4	10	14	0	-5.416782054832456
20120720	33.33	3	6	9	0	-5.90963572880296
20120727	52.63	10	9	19	0	-2.9835735836406303
20120801	50.0	7	7	14	0	-2.742084703947368
