id	ratio	positive	negetive	num
2021.05.23	21.74	5	18	23
2021.05.22	36.84	7	12	19
2021.05.21	22.0	11	39	50
2021.05.20	17.61	25	117	142
2021.05.19	11.11	1	8	9
2021.05.18	27.66	13	34	47
2021.05.17	32.39	23	48	71
2021.05.16	30.3	10	23	33
2021.05.15	29.03	9	22	31
2021.05.14	24.41	31	96	127
2021.05.13	26.83	22	60	82
2021.05.12	23.89	43	137	180
2021.05.11	26.61	33	91	124
2021.05.10	24.89	55	166	221
2021.05.09	21.05	8	30	38
2021.05.08	28.26	13	33	46
2021.05.07	29.25	31	75	106
2021.05.06	21.9	30	107	137
2021.05.05	22.03	13	46	59
2021.05.04	27.05	56	151	207
2021.05.03	28.15	85	217	302
2021.05.02	24.83	36	109	145
2021.05.01	26.71	43	118	161
2021.04.30	25.58	144	419	563
2021.04.29	22.7	74	252	326
2021.04.28	26.71	43	118	161
2021.04.27	32.18	28	59	87
2021.04.26	21.05	24	90	114
2021.04.25	34.62	9	17	26
2021.04.24	23.73	14	45	59
2021.04.23	34.0	17	33	50
2021.04.22	41.07	23	33	56
2021.04.21	34.48	20	38	58
2021.04.20	9.62	5	47	52
2021.04.19	22.41	13	45	58
2021.04.18	29.41	5	12	17
2021.04.17	33.33	3	6	9
2021.04.16	21.74	10	36	46
2021.04.15	23.08	9	30	39
2021.04.14	28.57	12	30	42
2021.04.13	22.0	11	39	50
2021.04.12	23.91	11	35	46
2021.04.11	100.0	2	0	2
2021.04.10	50.0	2	2	4
2021.04.09	29.73	11	26	37
2021.04.08	26.92	14	38	52
2021.04.07	38.78	19	30	49
2021.04.06	33.33	10	20	30
2021.04.05	16.67	2	10	12
2021.04.04	33.33	1	2	3
2021.04.03	25.0	1	3	4
2021.04.02	19.35	12	50	62
2021.04.01	30.3	10	23	33
2021.03.31	28.89	13	32	45
2021.03.30	31.25	15	33	48
2021.03.29	36.36	16	28	44
2021.03.28	50.0	3	3	6
2021.03.27	36.36	4	7	11
2021.03.26	39.66	23	35	58
2021.03.25	33.33	13	26	39
2021.03.24	38.46	5	8	13
2021.03.23	36.36	8	14	22
2021.03.22	41.18	7	10	17
2021.03.21	100.0	2	0	2
2021.03.20	23.53	4	13	17
2021.03.19	35.29	12	22	34
2021.03.18	25.0	3	9	12
2021.03.17	44.83	13	16	29
2021.03.16	14.29	2	12	14
2021.03.15	45.16	14	17	31
2021.03.14	33.33	1	2	3
2021.03.13	60.0	3	2	5
2021.03.12	26.19	11	31	42
2021.03.11	51.85	14	13	27
2021.03.10	19.23	5	21	26
2021.03.09	10.94	7	57	64
2021.03.08	32.14	9	19	28
2021.03.07	16.67	1	5	6
2021.03.06	57.14	4	3	7
2021.03.05	31.25	5	11	16
2021.03.04	21.43	3	11	14
2021.03.03	36.84	7	12	19
2021.03.02	13.64	3	19	22
2021.03.01	100.0	1	0	1
2021.02.28	37.5	3	5	8
2021.02.27	50.0	2	2	4
2021.02.26	7.41	2	25	27
2021.02.25	22.22	4	14	18
2021.02.24	22.73	5	17	22
2021.02.23	16.67	4	20	24
2021.02.22	44.83	13	16	29
2021.02.21	0.0	0	1	1
2021.02.20	0.0	0	2	2
2021.02.19	37.5	3	5	8
2021.02.18	9.09	1	10	11
2021.02.17	25.0	2	6	8
2021.02.16	41.67	5	7	12
2021.02.15	53.85	7	6	13
2021.02.14	75.0	3	1	4
2021.02.13	50.0	1	1	2
2021.02.12	50.0	2	2	4
2021.02.11	0.0	0	4	4
2021.02.10	26.09	6	17	23
2021.02.09	22.11	21	74	95
2021.02.08	20.45	9	35	44
2021.02.07	0.0	0	2	2
2021.02.06	25.0	1	3	4
2021.02.05	28.21	11	28	39
2021.02.04	18.75	6	26	32
2021.02.03	13.79	4	25	29
2021.02.02	15.79	3	16	19
2021.02.01	33.33	8	16	24
2021.01.31	33.33	1	2	3
2021.01.30	0.0	0	4	4
2021.01.29	21.43	6	22	28
2021.01.28	21.74	5	18	23
2021.01.27	36.0	9	16	25
2021.01.26	37.5	3	5	8
2021.01.25	22.22	6	21	27
2021.01.24	60.0	3	2	5
2021.01.23	28.57	2	5	7
2021.01.22	25.0	8	24	32
2021.01.21	17.65	3	14	17
2021.01.20	28.57	4	10	14
2021.01.19	8.7	2	21	23
2021.01.18	12.5	1	7	8
2021.01.17	20.0	1	4	5
2021.01.16	50.0	2	2	4
2021.01.15	21.74	5	18	23
2021.01.14	40.0	6	9	15
2021.01.13	42.31	11	15	26
2021.01.12	20.0	5	20	25
2021.01.11	25.0	5	15	20
2021.01.10	40.0	2	3	5
2021.01.09	0.0	0	3	3
2021.01.08	54.55	6	5	11
2021.01.07	27.27	3	8	11
2021.01.06	25.0	2	6	8
2021.01.05	27.27	3	8	11
2021.01.04	25.0	2	6	8
2021.01.02	0.0	0	1	1
2021.01.01	100.0	1	0	1
2020.12.31	50.0	1	1	2
2020.12.30	41.67	5	7	12
2020.12.29	36.36	4	7	11
2020.12.28	25.0	2	6	8
2020.12.27	0.0	0	2	2
2020.12.26	0.0	0	3	3
2020.12.25	50.0	1	1	2
2020.12.24	9.09	1	10	11
2020.12.23	17.65	3	14	17
2020.12.22	25.0	3	9	12
2020.12.21	11.11	2	16	18
2020.12.20	0.0	0	3	3
2020.12.19	25.0	1	3	4
2020.12.18	13.33	2	13	15
2020.12.17	0.0	0	8	8
2020.12.16	10.0	2	18	20
2020.12.15	17.65	3	14	17
2020.12.14	12.5	4	28	32
2020.12.13	50.0	2	2	4
2020.12.12	0.0	0	1	1
2020.12.11	11.11	1	8	9
2020.12.10	50.0	8	8	16
2020.12.09	30.43	7	16	23
2020.12.08	45.71	16	19	35
2020.12.07	22.64	12	41	53
2020.12.06	6.25	1	15	16
2020.12.05	8.33	1	11	12
2020.12.04	30.86	25	56	81
2020.12.03	21.97	67	238	305
2020.12.02	37.14	13	22	35
2020.12.01	15.79	3	16	19
2020.11.30	47.62	10	11	21
2020.11.29	60.0	3	2	5
2020.11.28	66.67	2	1	3
2020.11.27	41.18	14	20	34
2020.11.26	33.33	6	12	18
2020.11.25	22.73	5	17	22
2020.11.24	43.24	16	21	37
2020.11.23	24.24	16	50	66
2020.11.22	46.15	12	14	26
2020.11.21	33.33	8	16	24
2020.11.20	36.36	8	14	22
2020.11.19	21.05	4	15	19
2020.11.18	23.08	3	10	13
2020.11.17	27.78	5	13	18
2020.11.16	25.0	1	3	4
2020.11.15	50.0	1	1	2
2020.11.14	100.0	1	0	1
2020.11.13	66.67	2	1	3
2020.11.12	18.18	2	9	11
2020.11.11	50.0	11	11	22
2020.11.10	10.0	1	9	10
2020.11.09	57.14	4	3	7
2020.11.07	14.29	1	6	7
2020.11.06	50.0	3	3	6
2020.11.05	14.29	1	6	7
2020.11.04	25.0	1	3	4
2020.11.03	0.0	0	6	6
2020.11.02	60.0	6	4	10
2020.11.01	16.67	1	5	6
2020.10.31	50.0	1	1	2
2020.10.30	50.0	1	1	2
2020.10.29	30.0	3	7	10
2020.10.28	16.67	1	5	6
2020.10.27	0.0	0	8	8
2020.10.26	0.0	0	2	2
2020.10.25	25.0	1	3	4
2020.10.24	0.0	0	1	1
2020.10.23	100.0	1	0	1
2020.10.22	0.0	0	3	3
2020.10.21	50.0	6	6	12
2020.10.20	33.33	2	4	6
2020.10.19	20.0	1	4	5
2020.10.18	50.0	1	1	2
2020.10.17	25.0	1	3	4
2020.10.16	25.0	1	3	4
2020.10.15	7.14	1	13	14
2020.10.14	100.0	3	0	3
2020.10.13	16.67	1	5	6
2020.10.12	11.11	1	8	9
2020.10.11	0.0	0	3	3
2020.10.09	0.0	0	1	1
2020.10.08	50.0	1	1	2
2020.10.07	27.27	3	8	11
2020.10.06	25.0	2	6	8
2020.10.05	38.46	5	8	13
2020.10.04	0.0	0	1	1
2020.10.03	50.0	1	1	2
2020.10.02	50.0	1	1	2
2020.10.01	100.0	1	0	1
2020.09.30	0.0	0	1	1
2020.09.29	0.0	0	2	2
2020.09.28	40.0	2	3	5
2020.09.27	100.0	1	0	1
2020.09.26	50.0	1	1	2
2020.09.25	25.0	2	6	8
2020.09.24	26.09	6	17	23
2020.09.23	7.69	1	12	13
2020.09.22	42.86	6	8	14
2020.09.21	16.67	1	5	6
2020.09.20	33.33	1	2	3
2020.09.19	0.0	0	1	1
2020.09.18	23.53	4	13	17
2020.09.17	22.73	5	17	22
2020.09.16	25.0	4	12	16
2020.09.15	37.5	6	10	16
2020.09.14	29.41	5	12	17
2020.09.13	0.0	0	1	1
2020.09.12	50.0	1	1	2
2020.09.11	0.0	0	7	7
2020.09.10	21.43	3	11	14
2020.09.09	0.0	0	2	2
2020.09.08	22.22	2	7	9
2020.09.07	40.0	4	6	10
2020.09.06	33.33	2	4	6
2020.09.05	14.29	1	6	7
2020.09.04	43.48	10	13	23
2020.09.03	36.36	8	14	22
2020.09.02	28.57	12	30	42
2020.09.01	7.14	1	13	14
2020.08.31	0.0	0	6	6
2020.08.30	20.0	1	4	5
2020.08.29	50.0	1	1	2
2020.08.28	30.77	4	9	13
2020.08.27	40.0	2	3	5
2020.08.26	66.67	2	1	3
2020.08.25	66.67	4	2	6
2020.08.24	40.0	2	3	5
2020.08.22	0.0	0	1	1
2020.08.21	16.67	1	5	6
2020.08.20	33.33	1	2	3
2020.08.19	20.0	2	8	10
2020.08.18	18.18	4	18	22
2020.08.16	33.33	1	2	3
2020.08.15	0.0	0	1	1
2020.08.14	0.0	0	2	2
2020.08.13	31.25	10	22	32
2020.08.12	23.81	5	16	21
2020.08.11	25.0	18	54	72
2020.08.10	30.0	3	7	10
2020.08.09	100.0	1	0	1
2020.08.08	0.0	0	2	2
2020.08.07	25.0	2	6	8
2020.08.06	42.86	3	4	7
2020.08.05	33.33	3	6	9
2020.08.04	0.0	0	7	7
2020.08.03	28.57	2	5	7
2020.08.02	50.0	1	1	2
2020.07.31	25.0	3	9	12
2020.07.30	37.5	3	5	8
2020.07.29	12.5	1	7	8
2020.07.28	0.0	0	5	5
2020.07.27	14.29	1	6	7
2020.07.26	0.0	0	1	1
2020.07.25	100.0	1	0	1
2020.07.24	0.0	0	2	2
2020.07.23	50.0	1	1	2
2020.07.22	40.0	2	3	5
2020.07.21	0.0	0	4	4
2020.07.20	100.0	3	0	3
2020.07.19	0.0	0	1	1
2020.07.17	100.0	1	0	1
2020.07.16	14.29	1	6	7
2020.07.15	25.0	1	3	4
2020.07.14	25.0	1	3	4
2020.07.13	33.33	1	2	3
2020.07.12	0.0	0	1	1
2020.07.10	0.0	0	2	2
2020.07.09	33.33	1	2	3
2020.07.08	50.0	1	1	2
2020.07.07	37.5	3	5	8
2020.07.06	41.67	5	7	12
2020.07.03	0.0	0	1	1
2020.07.02	33.33	3	6	9
2020.07.01	20.0	1	4	5
2020.06.30	30.77	4	9	13
2020.06.29	0.0	0	3	3
2020.06.28	100.0	1	0	1
2020.06.27	0.0	0	2	2
2020.06.26	33.33	1	2	3
2020.06.25	100.0	1	0	1
2020.06.24	0.0	0	3	3
2020.06.23	0.0	0	3	3
2020.06.22	0.0	0	2	2
2020.06.21	50.0	1	1	2
2020.06.20	0.0	0	2	2
2020.06.19	0.0	0	2	2
2020.06.18	0.0	0	1	1
2020.06.17	100.0	1	0	1
2020.06.16	0.0	0	2	2
2020.06.15	0.0	0	2	2
2020.06.13	0.0	0	1	1
2020.06.12	0.0	0	2	2
2020.06.11	0.0	0	2	2
2020.06.10	33.33	2	4	6
2020.06.06	100.0	1	0	1
2020.06.05	0.0	0	2	2
2020.06.04	0.0	0	2	2
2020.06.03	0.0	0	2	2
2020.06.02	66.67	2	1	3
2020.06.01	50.0	1	1	2
2020.05.29	0.0	0	4	4
2020.05.28	14.29	1	6	7
2020.05.27	100.0	1	0	1
2020.05.26	16.67	1	5	6
2020.05.25	14.29	1	6	7
2020.05.24	0.0	0	3	3
2020.05.23	0.0	0	0	0
2020.05.22	0.0	0	5	5
2020.05.21	0.0	0	6	6
2020.05.20	75.0	3	1	4
2020.05.19	40.0	2	3	5
2020.05.18	0.0	0	1	1
2020.05.17	100.0	1	0	1
2020.05.16	0.0	0	0	0
2020.05.15	80.0	4	1	5
2020.05.14	66.67	2	1	3
2020.05.13	23.08	3	10	13
2020.05.12	0.0	0	2	2
