id	ratio	positive	negetive	num
2021.05.23	24.14	7	22	29
2021.05.22	40.91	9	13	22
2021.05.21	23.33	14	46	60
2021.05.20	22.15	33	116	149
2021.05.19	21.43	3	11	14
2021.05.18	42.59	23	31	54
2021.05.17	34.25	25	48	73
2021.05.16	34.38	11	21	32
2021.05.15	27.78	10	26	36
2021.05.14	23.24	33	109	142
2021.05.13	31.0	31	69	100
2021.05.12	27.5	55	145	200
2021.05.11	29.45	43	103	146
2021.05.10	29.67	73	173	246
2021.05.09	30.0	15	35	50
2021.05.08	30.51	18	41	59
2021.05.07	31.71	39	84	123
2021.05.06	28.57	44	110	154
2021.05.05	30.65	19	43	62
2021.05.04	29.74	69	163	232
2021.05.03	32.55	111	230	341
2021.05.02	35.33	59	108	167
2021.05.01	27.17	47	126	173
2021.04.30	25.53	156	455	611
2021.04.29	24.93	94	283	377
2021.04.28	27.43	48	127	175
2021.04.27	32.0	32	68	100
2021.04.26	24.63	33	101	134
2021.04.25	29.17	7	17	24
2021.04.24	38.1	24	39	63
2021.04.23	30.0	15	35	50
2021.04.22	34.78	24	45	69
2021.04.21	37.5	24	40	64
2021.04.20	13.79	8	50	58
2021.04.19	26.03	19	54	73
2021.04.18	45.0	9	11	20
2021.04.17	50.0	4	4	8
2021.04.16	18.0	9	41	50
2021.04.15	32.5	13	27	40
2021.04.14	26.67	12	33	45
2021.04.13	26.67	16	44	60
2021.04.12	32.73	18	37	55
2021.04.11	50.0	3	3	6
2021.04.10	0.0	0	5	5
2021.04.09	47.62	20	22	42
2021.04.08	35.48	22	40	62
2021.04.07	43.86	25	32	57
2021.04.06	38.24	13	21	34
2021.04.05	23.08	3	10	13
2021.04.04	33.33	1	2	3
2021.04.03	0.0	0	3	3
2021.04.02	31.43	22	48	70
2021.04.01	35.71	15	27	42
2021.03.31	17.31	9	43	52
2021.03.30	45.1	23	28	51
2021.03.29	31.25	15	33	48
2021.03.28	44.44	4	5	9
2021.03.27	54.55	6	5	11
2021.03.26	41.1	30	43	73
2021.03.25	36.84	14	24	38
2021.03.24	30.77	4	9	13
2021.03.23	30.0	6	14	20
2021.03.22	45.83	11	13	24
2021.03.21	75.0	3	1	4
2021.03.20	13.33	2	13	15
2021.03.19	37.78	17	28	45
2021.03.18	23.08	3	10	13
