id	document	label
2021.04.29.	[인민화보]중국 속의 한국 기업 '컴투스'	3
2021.04.29.	짜릿한 ‘실시간 대전’의 쾌감 … e스포츠로도 성공 예감	3
2021.04.29.	‘서머너즈 워: 천공의 아레나’ 온·오프라인 소통 효과 ‘톡톡’	3
2021.04.29.	컴투스, '서머너즈워: 백년전쟁' 출격…e스포츠 신흥강자 등극할까	3
2021.04.29.	[백년전쟁 출시] ①'서머너즈 워' 이름 단 첫 후속작 '백년전쟁'... 컴투스, ...	3
2021.04.29.	[백년전쟁 출시] ②짜릿한 실시간 전투, '서머너즈 워: 백년전쟁'은 어떤 게임...	3
2021.04.29.	[백년전쟁 출시] ③IP 사업 힘주는 컴투스, 서머너즈 워: 백년전쟁이 '화룡점...	3
2021.04.29.	[2021 주목할 신작] ① 컴투스 ‘서머너즈워: 백년전쟁’ 정식 출시... 제2 서...	3
2021.04.29.	[2021 주목할 신작] ② “백년전쟁, 전략·액션 극대화... 이스포츠 확대가 꿈...	3
2021.04.29.	[도약하는 컴투스] 방향타 잡은 전략가 '송재준'	3
2021.04.29.	'서머너즈워: 백년전쟁' 정식 출시하는 컴투스 강세	3
2021.04.29.	워너비챌린지’, 눈부신 봄날의 결혼식 스토리 공개	3
2021.04.29.	컴투스 워너비챌린지 봄날 맞아 결혼식 콘셉트로 구성된 ‘if영원’ 선보여	3
2021.04.29.	컴투스 ‘워너비챌린지’, 신규 업데이트로 ‘눈부신 봄날의 결혼식’ 스토리...	3
2021.04.29.	컴투스, '워너비챌린지' 업데이트…'눈부신 봄날의 결혼식' 스토리 공개	3
2021.04.29.	IP 확장 시험대 오르는 컴투스 '서머너즈워'	3
2021.04.29.	컴투스, ‘워너비챌린지’ 업데이트로 신규 스토리 공개	3
2021.04.29.	컴투스 '워너비챌린지', 신규 업데이트... '눈부신 봄날의 결혼식' 스토리 공...	3
2021.04.29.	컴투스 '워너비챌린지' 신규 업데이트 실시...'눈부신 봄날의 결혼식' 테마 공...	3
2021.04.29.	컴투스 서머너즈워: 백년전쟁, 글로벌 흥행에 ‘시선집중’	3
2021.04.29.	[특징주]데브시스터즈, 1분기 영업익 기대치 밑돌아...7%대 약세	3
2021.04.29.	위지윅스튜디오-엔피, 종합 콘텐츠 공간사업사 ‘와이엔컬쳐앤스페이스’지분...	3
2021.04.29.	‘워너비챌린지’, 신규 업데이트 실시…‘눈부신 봄날의 결혼식’ 스토리 추...	3
2021.04.29.	위지윅스튜디오, YG·네이버 합작사 '와이엔컬쳐앤스페이스'에 투자	3
2021.04.29.	위지윅스튜디오, YG·네이버 합작사에 100억 규모 지분투자 단행	3
2021.04.29.	컴투스, ‘워너비챌린지’, 신규 업데이트 실시 ‘눈부신 봄날의 결혼식’ 스...	3
2021.04.29.	워너비챌린지, '봄날의 결혼식' 콘셉트 if 영원 스토리 공개	3
2021.04.29.	컴투스 '워너비챌린지', 신규 업데이트 실시	3
2021.04.29.	위지윅스튜디오-엔피, 종합 콘텐츠 공간사업사 '와이엔컬쳐앤스페이스' 지분투...	3
2021.04.29.	워너비챌린지, 눈부신 봄날의 결혼식 스토리 공개	3
2021.04.29.	'워너비챌린지', '눈부신 봄날의 결혼식' 스토리 추가	3
2021.04.29.	[더벨]위지윅스튜디오-엔피, YG·네이버 손잡았다	3
