id	ratio	positive	negetive	num
2010.01.01.	100.0	1	0	1
2010.01.04.	68.18	15	7	22
2010.01.05.	60.71	17	11	28
2010.01.06.	35.48	11	20	31
2010.01.07.	33.33	3	6	9
2010.01.08.	33.33	2	4	6
2010.01.09.	100.0	1	0	1
2010.01.10.	100.0	3	0	3
2010.01.11.	86.96	20	3	23
2010.01.12.	69.23	9	4	13
2010.01.13.	20.0	1	4	5
2010.01.14.	66.67	6	3	9
2010.01.15.	88.89	8	1	9
2010.01.17.	0.0	0	1	1
2010.01.18.	43.75	7	9	16
2010.01.19.	52.63	10	9	19
2010.01.20.	52.5	21	19	40
2010.01.21.	100.0	15	0	15
2010.01.22.	50.0	2	2	4
2010.01.24.	100.0	3	0	3
2010.01.25.	75.0	3	1	4
2010.01.26.	77.27	17	5	22
2010.01.27.	50.0	5	5	10
2010.01.28.	25.0	4	12	16
2010.01.29.	0.0	0	5	5
2010.01.31.	100.0	1	0	1
2010.02.01.	55.56	10	8	18
2010.02.02.	87.5	14	2	16
2010.02.03.	71.43	10	4	14
2010.02.04.	40.0	2	3	5
2010.02.05.	50.0	1	1	2
2010.02.06.	100.0	1	0	1
2010.02.07.	100.0	1	0	1
2010.02.08.	78.57	11	3	14
2010.02.09.	85.71	12	2	14
2010.02.10.	46.67	7	8	15
2010.02.11.	45.45	5	6	11
2010.02.12.	65.91	29	15	44
2010.02.13.	50.0	1	1	2
2010.02.14.	0.0	0	1	1
2010.02.15.	100.0	3	0	3
2010.02.16.	38.89	7	11	18
2010.02.17.	89.29	25	3	28
2010.02.18.	28.57	4	10	14
2010.02.19.	75.0	9	3	12
2010.02.20.	0.0	0	2	2
2010.02.21.	6.25	1	15	16
2010.02.22.	0.0	0	2	2
2010.02.23.	75.0	6	2	8
2010.02.24.	50.0	6	6	12
2010.02.25.	23.08	3	10	13
2010.02.26.	50.0	2	2	4
2010.02.28.	100.0	1	0	1
2010.03.01.	50.0	1	1	2
2010.03.02.	72.73	8	3	11
2010.03.03.	16.67	1	5	6
2010.03.04.	100.0	1	0	1
2010.03.05.	50.0	2	2	4
2010.03.06.	100.0	2	0	2
2010.03.07.	0.0	0	1	1
2010.03.08.	66.67	2	1	3
2010.03.09.	90.0	9	1	10
2010.03.10.	66.67	2	1	3
2010.03.11.	50.0	1	1	2
2010.03.12.	100.0	2	0	2
2010.03.15.	27.27	3	8	11
2010.03.16.	50.0	2	2	4
2010.03.17.	70.0	7	3	10
2010.03.18.	50.0	2	2	4
2010.03.19.	75.0	9	3	12
2010.03.20.	66.67	2	1	3
2010.03.22.	50.0	3	3	6
2010.03.23.	75.0	3	1	4
2010.03.24.	33.33	1	2	3
2010.03.25.	88.89	16	2	18
2010.03.26.	90.0	9	1	10
2010.03.28.	50.0	1	1	2
2010.03.29.	88.89	8	1	9
2010.03.30.	66.67	8	4	12
2010.03.31.	56.25	9	7	16
2010.04.01.	73.33	11	4	15
2010.04.02.	91.67	11	1	12
2010.04.04.	0.0	0	3	3
2010.04.05.	57.14	28	21	49
2010.04.06.	45.0	9	11	20
2010.04.07.	0.0	0	1	1
2010.04.08.	100.0	4	0	4
2010.04.09.	64.29	9	5	14
2010.04.11.	100.0	1	0	1
2010.04.12.	78.57	11	3	14
2010.04.13.	100.0	10	0	10
2010.04.14.	65.0	13	7	20
2010.04.15.	25.0	4	12	16
2010.04.16.	50.0	4	4	8
2010.04.18.	80.0	4	1	5
2010.04.19.	23.08	3	10	13
2010.04.20.	0.0	0	3	3
2010.04.21.	33.33	3	6	9
2010.04.22.	50.0	1	1	2
2010.04.23.	91.67	22	2	24
2010.04.25.	33.33	1	2	3
2010.04.26.	71.43	25	10	35
2010.04.27.	66.67	2	1	3
2010.04.28.	50.0	5	5	10
2010.04.29.	30.0	6	14	20
2010.04.30.	76.92	10	3	13
2010.05.01.	100.0	2	0	2
2010.05.03.	61.11	11	7	18
2010.05.04.	72.73	8	3	11
2010.05.05.	0.0	0	1	1
2010.05.06.	18.18	2	9	11
2010.05.07.	81.82	18	4	22
2010.05.09.	50.0	2	2	4
2010.05.10.	73.91	17	6	23
2010.05.11.	70.0	7	3	10
2010.05.12.	77.78	7	2	9
2010.05.13.	63.64	7	4	11
2010.05.14.	80.0	4	1	5
2010.05.16.	50.0	1	1	2
2010.05.17.	63.64	14	8	22
2010.05.18.	92.86	13	1	14
2010.05.19.	66.67	6	3	9
2010.05.20.	84.62	11	2	13
2010.05.22.	0.0	0	2	2
2010.05.23.	75.0	3	1	4
2010.05.24.	21.05	4	15	19
2010.05.25.	27.27	3	8	11
2010.05.26.	70.0	7	3	10
2010.05.27.	25.0	4	12	16
2010.05.28.	83.33	10	2	12
2010.05.30.	66.67	6	3	9
2010.05.31.	60.0	6	4	10
2010.06.01.	33.33	2	4	6
2010.06.03.	85.71	6	1	7
2010.06.04.	92.86	13	1	14
2010.06.05.	100.0	1	0	1
2010.06.06.	50.0	1	1	2
2010.06.07.	100.0	5	0	5
2010.06.08.	53.85	14	12	26
2010.06.09.	68.42	13	6	19
2010.06.10.	50.0	3	3	6
2010.06.11.	77.78	7	2	9
2010.06.12.	100.0	1	0	1
2010.06.13.	75.0	3	1	4
2010.06.14.	60.0	6	4	10
2010.06.15.	66.67	2	1	3
2010.06.16.	81.82	9	2	11
2010.06.17.	87.5	14	2	16
2010.06.18.	100.0	12	0	12
2010.06.21.	50.0	3	3	6
2010.06.22.	91.67	11	1	12
2010.06.23.	40.0	2	3	5
2010.06.24.	50.0	1	1	2
2010.06.25.	88.89	8	1	9
2010.06.26.	100.0	1	0	1
2010.06.27.	0.0	0	3	3
2010.06.28.	75.0	9	3	12
2010.06.29.	21.43	3	11	14
2010.06.30.	90.91	10	1	11
2010.07.01.	0.0	0	1	1
2010.07.04.	100.0	1	0	1
2010.07.05.	33.33	1	2	3
2010.07.06.	33.33	1	2	3
2010.07.07.	81.82	9	2	11
2010.07.08.	18.75	3	13	16
2010.07.09.	100.0	8	0	8
2010.07.11.	33.33	1	2	3
2010.07.12.	66.67	6	3	9
2010.07.13.	72.73	8	3	11
2010.07.14.	81.82	9	2	11
2010.07.15.	50.0	2	2	4
2010.07.18.	0.0	0	1	1
2010.07.19.	66.67	4	2	6
2010.07.20.	12.5	1	7	8
2010.07.21.	55.56	5	4	9
2010.07.22.	25.0	4	12	16
2010.07.23.	81.82	9	2	11
2010.07.24.	100.0	1	0	1
2010.07.25.	100.0	6	0	6
2010.07.26.	21.21	7	26	33
2010.07.27.	60.0	3	2	5
2010.07.28.	33.33	1	2	3
2010.07.29.	80.0	8	2	10
2010.07.30.	60.0	3	2	5
2010.07.31.	0.0	0	1	1
2010.08.01.	87.5	7	1	8
2010.08.02.	54.17	13	11	24
2010.08.03.	0.0	0	4	4
2010.08.04.	55.56	5	4	9
2010.08.05.	0.0	0	4	4
2010.08.06.	66.67	2	1	3
2010.08.08.	0.0	0	2	2
2010.08.09.	88.89	8	1	9
2010.08.10.	50.0	1	1	2
2010.08.11.	80.0	8	2	10
2010.08.12.	92.31	12	1	13
2010.08.13.	80.0	8	2	10
2010.08.15.	50.0	1	1	2
2010.08.16.	22.22	2	7	9
2010.08.17.	33.33	1	2	3
2010.08.18.	85.71	12	2	14
2010.08.19.	53.33	16	14	30
2010.08.20.	88.24	15	2	17
2010.08.21.	100.0	1	0	1
2010.08.23.	50.0	1	1	2
2010.08.24.	71.43	5	2	7
2010.08.25.	77.78	7	2	9
2010.08.26.	87.5	7	1	8
2010.08.27.	60.0	3	2	5
2010.08.28.	0.0	0	1	1
2010.08.29.	100.0	2	0	2
2010.08.30.	80.95	17	4	21
2010.08.31.	30.0	3	7	10
2010.09.01.	66.67	2	1	3
2010.09.02.	71.43	5	2	7
2010.09.05.	66.67	2	1	3
2010.09.06.	77.42	24	7	31
2010.09.07.	50.0	1	1	2
2010.09.08.	75.0	6	2	8
2010.09.09.	0.0	0	1	1
2010.09.10.	86.67	13	2	15
2010.09.12.	80.0	4	1	5
2010.09.13.	14.29	1	6	7
2010.09.14.	100.0	1	0	1
2010.09.15.	82.35	14	3	17
2010.09.16.	100.0	15	0	15
2010.09.17.	83.33	10	2	12
2010.09.19.	50.0	1	1	2
2010.09.20.	42.86	3	4	7
2010.09.21.	100.0	1	0	1
2010.09.22.	100.0	1	0	1
2010.09.23.	100.0	1	0	1
2010.09.27.	100.0	2	0	2
2010.09.28.	40.0	2	3	5
2010.09.29.	80.95	17	4	21
2010.09.30.	33.33	2	4	6
2010.10.01.	92.86	13	1	14
2010.10.03.	0.0	0	1	1
2010.10.04.	100.0	1	0	1
2010.10.05.	100.0	1	0	1
2010.10.06.	0.0	0	1	1
2010.10.07.	66.67	12	6	18
2010.10.08.	77.78	7	2	9
2010.10.10.	100.0	1	0	1
2010.10.11.	81.82	9	2	11
2010.10.12.	100.0	1	0	1
2010.10.13.	81.25	13	3	16
2010.10.14.	46.15	6	7	13
2010.10.15.	60.0	3	2	5
2010.10.18.	100.0	1	0	1
2010.10.19.	57.14	4	3	7
2010.10.20.	100.0	9	0	9
2010.10.21.	15.38	2	11	13
2010.10.22.	91.67	11	1	12
2010.10.23.	100.0	6	0	6
2010.10.24.	0.0	0	1	1
2010.10.25.	28.12	9	23	32
2010.10.26.	66.67	8	4	12
2010.10.27.	42.86	3	4	7
2010.10.28.	100.0	6	0	6
2010.10.29.	0.0	0	2	2
2010.10.31.	100.0	2	0	2
2010.11.01.	25.0	1	3	4
2010.11.02.	60.0	9	6	15
2010.11.03.	33.33	2	4	6
2010.11.04.	80.0	4	1	5
2010.11.05.	60.0	3	2	5
2010.11.07.	100.0	3	0	3
2010.11.08.	68.97	20	9	29
2010.11.09.	77.27	17	5	22
2010.11.10.	66.67	2	1	3
2010.11.11.	95.24	20	1	21
2010.11.12.	100.0	15	0	15
2010.11.13.	0.0	0	1	1
2010.11.14.	75.0	3	1	4
2010.11.15.	57.14	4	3	7
2010.11.16.	56.25	9	7	16
2010.11.17.	78.95	30	8	38
2010.11.18.	93.33	14	1	15
2010.11.19.	40.0	2	3	5
2010.11.20.	100.0	1	0	1
2010.11.22.	25.0	1	3	4
2010.11.23.	25.0	1	3	4
2010.11.24.	66.67	2	1	3
2010.11.25.	100.0	4	0	4
2010.11.26.	81.25	13	3	16
2010.11.29.	88.89	8	1	9
2010.11.30.	23.53	4	13	17
2010.12.01.	87.5	7	1	8
2010.12.02.	33.33	1	2	3
2010.12.03.	72.73	8	3	11
2010.12.04.	0.0	0	1	1
2010.12.06.	25.0	1	3	4
2010.12.07.	91.67	11	1	12
2010.12.08.	50.0	4	4	8
2010.12.09.	0.0	0	2	2
2010.12.10.	85.71	6	1	7
2010.12.12.	50.0	2	2	4
2010.12.13.	94.74	18	1	19
2010.12.14.	50.0	3	3	6
2010.12.15.	42.86	3	4	7
2010.12.16.	0.0	0	1	1
2010.12.17.	0.0	0	1	1
2010.12.20.	55.56	5	4	9
2010.12.21.	87.5	7	1	8
2010.12.22.	33.33	1	2	3
2010.12.23.	33.33	1	2	3
2010.12.24.	23.08	3	10	13
2010.12.25.	50.0	1	1	2
2010.12.26.	100.0	1	0	1
2010.12.27.	100.0	1	0	1
2010.12.28.	38.46	5	8	13
2010.12.29.	92.86	13	1	14
2010.12.30.	20.0	1	4	5
2010.12.31.	66.67	2	1	3
2011.01.02.	75.0	3	1	4
2011.01.03.	71.43	5	2	7
2011.01.04.	66.67	2	1	3
2011.01.05.	60.0	3	2	5
2011.01.06.	30.77	4	9	13
2011.01.07.	0.0	0	2	2
2011.01.09.	0.0	0	1	1
2011.01.10.	87.5	7	1	8
2011.01.11.	33.33	1	2	3
2011.01.12.	0.0	0	3	3
2011.01.13.	60.71	17	11	28
2011.01.14.	77.78	7	2	9
2011.01.16.	50.0	1	1	2
2011.01.17.	50.0	4	4	8
2011.01.18.	56.25	9	7	16
2011.01.19.	60.0	6	4	10
2011.01.20.	50.0	2	2	4
2011.01.21.	14.29	2	12	14
2011.01.23.	0.0	0	3	3
2011.01.24.	75.0	3	1	4
2011.01.25.	57.5	23	17	40
2011.01.26.	71.43	5	2	7
2011.01.27.	50.0	2	2	4
2011.01.30.	100.0	1	0	1
2011.01.31.	77.78	7	2	9
2011.02.01.	50.0	1	1	2
2011.02.02.	50.0	1	1	2
2011.02.07.	33.33	1	2	3
2011.02.08.	100.0	3	0	3
2011.02.09.	50.0	3	3	6
2011.02.10.	25.0	3	9	12
2011.02.11.	100.0	2	0	2
2011.02.13.	0.0	0	1	1
2011.02.14.	71.43	10	4	14
2011.02.15.	36.84	7	12	19
2011.02.16.	46.67	7	8	15
2011.02.17.	46.67	7	8	15
2011.02.18.	66.67	2	1	3
2011.02.20.	0.0	0	1	1
2011.02.21.	50.0	1	1	2
2011.02.22.	75.0	3	1	4
2011.02.23.	90.91	10	1	11
2011.02.24.	66.67	2	1	3
2011.02.25.	100.0	17	0	17
2011.02.27.	25.0	1	3	4
2011.02.28.	100.0	1	0	1
2011.03.02.	33.33	2	4	6
2011.03.03.	72.73	8	3	11
2011.03.04.	66.67	2	1	3
2011.03.05.	0.0	0	1	1
2011.03.06.	91.67	11	1	12
2011.03.07.	60.0	9	6	15
2011.03.08.	70.59	12	5	17
2011.03.09.	66.67	8	4	12
2011.03.10.	63.89	23	13	36
2011.03.11.	68.18	15	7	22
2011.03.13.	100.0	1	0	1
2011.03.14.	66.67	6	3	9
2011.03.15.	84.21	16	3	19
2011.03.16.	16.67	1	5	6
2011.03.17.	66.67	6	3	9
2011.03.18.	100.0	1	0	1
2011.03.20.	100.0	2	0	2
2011.03.21.	100.0	2	0	2
2011.03.22.	85.71	6	1	7
2011.03.23.	66.67	2	1	3
2011.03.24.	75.0	3	1	4
2011.03.25.	100.0	5	0	5
2011.03.27.	100.0	1	0	1
2011.03.28.	50.0	2	2	4
2011.03.29.	25.0	1	3	4
2011.03.30.	0.0	0	2	2
2011.03.31.	76.92	20	6	26
2011.04.01.	55.0	11	9	20
2011.04.02.	100.0	1	0	1
2011.04.03.	50.0	3	3	6
2011.04.04.	75.0	3	1	4
2011.04.05.	100.0	2	0	2
2011.04.06.	100.0	3	0	3
2011.04.07.	44.83	13	16	29
2011.04.08.	33.33	1	2	3
2011.04.10.	33.33	1	2	3
2011.04.11.	100.0	2	0	2
2011.04.12.	41.67	5	7	12
2011.04.13.	46.67	7	8	15
2011.04.14.	42.86	6	8	14
2011.04.15.	60.0	6	4	10
2011.04.18.	33.33	1	2	3
2011.04.19.	70.0	7	3	10
2011.04.20.	33.33	1	2	3
2011.04.21.	51.28	20	19	39
2011.04.22.	66.67	2	1	3
2011.04.23.	0.0	0	2	2
2011.04.24.	0.0	0	1	1
2011.04.25.	68.75	11	5	16
2011.04.26.	65.22	15	8	23
2011.04.27.	0.0	0	10	10
2011.04.28.	66.67	2	1	3
2011.04.29.	25.0	1	3	4
2011.04.30.	100.0	1	0	1
2011.05.01.	100.0	6	0	6
2011.05.02.	88.89	8	1	9
2011.05.03.	100.0	2	0	2
2011.05.04.	58.82	10	7	17
2011.05.06.	26.92	7	19	26
2011.05.07.	50.0	1	1	2
2011.05.08.	0.0	0	4	4
2011.05.09.	81.25	13	3	16
2011.05.10.	66.67	2	1	3
2011.05.11.	63.16	12	7	19
2011.05.12.	66.67	2	1	3
2011.05.13.	100.0	2	0	2
2011.05.14.	100.0	1	0	1
2011.05.15.	100.0	2	0	2
2011.05.16.	66.67	2	1	3
2011.05.17.	50.0	1	1	2
2011.05.18.	100.0	9	0	9
2011.05.19.	41.67	5	7	12
2011.05.20.	55.56	5	4	9
2011.05.21.	0.0	0	1	1
2011.05.22.	0.0	0	1	1
2011.05.23.	66.67	2	1	3
2011.05.24.	50.0	1	1	2
2011.05.25.	0.0	0	3	3
2011.05.26.	39.13	9	14	23
2011.05.27.	66.67	2	1	3
2011.05.29.	66.67	2	1	3
2011.05.30.	50.0	1	1	2
2011.05.31.	33.33	5	10	15
2011.06.01.	10.53	2	17	19
2011.06.02.	50.0	6	6	12
2011.06.03.	100.0	2	0	2
2011.06.04.	100.0	1	0	1
2011.06.05.	0.0	0	1	1
2011.06.06.	33.33	1	2	3
2011.06.07.	100.0	1	0	1
2011.06.08.	84.62	11	2	13
2011.06.09.	21.43	3	11	14
2011.06.10.	76.92	10	3	13
2011.06.12.	50.0	1	1	2
2011.06.13.	100.0	5	0	5
2011.06.14.	87.5	7	1	8
2011.06.15.	46.15	6	7	13
2011.06.16.	50.0	5	5	10
2011.06.17.	50.0	4	4	8
2011.06.19.	100.0	2	0	2
2011.06.20.	0.0	0	2	2
2011.06.21.	66.67	6	3	9
2011.06.22.	75.0	3	1	4
2011.06.23.	25.0	3	9	12
2011.06.24.	80.0	4	1	5
2011.06.26.	100.0	2	0	2
2011.06.27.	60.0	3	2	5
2011.06.28.	74.47	35	12	47
2011.06.29.	44.44	8	10	18
2011.06.30.	43.75	7	9	16
2011.07.01.	73.33	11	4	15
2011.07.03.	33.33	1	2	3
2011.07.04.	62.5	5	3	8
2011.07.05.	28.57	2	5	7
2011.07.06.	66.67	2	1	3
2011.07.07.	41.67	5	7	12
2011.07.08.	47.06	8	9	17
2011.07.10.	50.0	2	2	4
2011.07.11.	0.0	0	6	6
2011.07.12.	64.29	9	5	14
2011.07.13.	50.0	3	3	6
2011.07.14.	45.0	9	11	20
2011.07.15.	73.08	19	7	26
2011.07.17.	50.0	1	1	2
2011.07.18.	69.23	9	4	13
2011.07.19.	56.67	17	13	30
2011.07.20.	100.0	7	0	7
2011.07.21.	27.27	3	8	11
2011.07.22.	53.85	7	6	13
2011.07.25.	25.0	1	3	4
2011.07.26.	62.5	10	6	16
2011.07.27.	72.73	8	3	11
2011.07.28.	50.0	2	2	4
2011.07.29.	91.67	11	1	12
2011.07.30.	60.0	3	2	5
2011.07.31.	100.0	2	0	2
2011.08.01.	60.0	15	10	25
2011.08.02.	68.75	11	5	16
2011.08.03.	80.0	8	2	10
2011.08.04.	64.71	11	6	17
2011.08.05.	100.0	1	0	1
2011.08.06.	0.0	0	1	1
2011.08.07.	50.0	3	3	6
2011.08.08.	68.0	34	16	50
2011.08.09.	25.0	2	6	8
2011.08.10.	80.0	8	2	10
2011.08.11.	63.64	7	4	11
2011.08.12.	61.54	16	10	26
2011.08.13.	100.0	3	0	3
2011.08.14.	50.0	1	1	2
2011.08.15.	100.0	3	0	3
2011.08.16.	46.15	6	7	13
2011.08.17.	94.12	16	1	17
2011.08.18.	87.5	7	1	8
2011.08.19.	33.33	2	4	6
2011.08.20.	100.0	1	0	1
2011.08.21.	0.0	0	1	1
2011.08.22.	66.67	6	3	9
2011.08.23.	27.78	5	13	18
2011.08.24.	53.33	8	7	15
2011.08.25.	28.57	2	5	7
2011.08.26.	47.62	10	11	21
2011.08.27.	66.67	2	1	3
2011.08.28.	0.0	0	1	1
2011.08.29.	75.0	3	1	4
2011.08.30.	84.62	11	2	13
2011.08.31.	76.0	19	6	25
2011.09.01.	43.75	7	9	16
2011.09.02.	70.0	21	9	30
2011.09.04.	0.0	0	1	1
2011.09.05.	57.89	22	16	38
2011.09.06.	40.0	6	9	15
2011.09.07.	64.29	9	5	14
2011.09.08.	42.86	6	8	14
2011.09.09.	75.76	25	8	33
2011.09.10.	75.0	6	2	8
2011.09.11.	0.0	0	1	1
2011.09.12.	0.0	0	1	1
2011.09.13.	100.0	2	0	2
2011.09.14.	50.0	3	3	6
2011.09.15.	65.22	15	8	23
2011.09.16.	36.36	4	7	11
2011.09.17.	100.0	1	0	1
2011.09.18.	25.0	1	3	4
2011.09.19.	45.45	5	6	11
2011.09.20.	85.0	17	3	20
2011.09.21.	43.33	13	17	30
2011.09.22.	42.31	11	15	26
2011.09.23.	60.38	32	21	53
2011.09.24.	0.0	0	3	3
2011.09.25.	50.0	6	6	12
2011.09.26.	40.0	6	9	15
2011.09.27.	60.0	6	4	10
2011.09.28.	87.5	7	1	8
2011.09.29.	45.0	9	11	20
2011.09.30.	62.96	17	10	27
2011.10.01.	100.0	1	0	1
2011.10.02.	100.0	2	0	2
2011.10.03.	100.0	2	0	2
2011.10.04.	40.0	4	6	10
2011.10.05.	37.5	3	5	8
2011.10.06.	74.07	20	7	27
2011.10.07.	55.56	5	4	9
2011.10.09.	66.67	2	1	3
2011.10.10.	62.07	18	11	29
2011.10.11.	73.91	17	6	23
2011.10.12.	81.82	9	2	11
2011.10.13.	72.0	18	7	25
2011.10.14.	48.78	20	21	41
2011.10.15.	0.0	0	2	2
2011.10.16.	50.0	3	3	6
2011.10.17.	33.33	8	16	24
2011.10.18.	72.73	16	6	22
2011.10.19.	58.33	7	5	12
2011.10.20.	0.0	0	3	3
2011.10.21.	66.67	8	4	12
2011.10.22.	0.0	0	1	1
2011.10.23.	100.0	4	0	4
2011.10.24.	85.19	23	4	27
2011.10.25.	42.11	8	11	19
2011.10.26.	60.0	6	4	10
2011.10.27.	50.0	6	6	12
2011.10.28.	37.5	6	10	16
2011.10.29.	50.0	1	1	2
2011.10.30.	75.0	3	1	4
2011.10.31.	83.33	5	1	6
2011.11.01.	61.9	13	8	21
2011.11.02.	62.75	64	38	102
2011.11.03.	94.12	16	1	17
2011.11.04.	100.0	11	0	11
2011.11.05.	100.0	2	0	2
2011.11.07.	88.64	39	5	44
2011.11.08.	75.0	27	9	36
2011.11.09.	75.0	30	10	40
2011.11.10.	79.07	34	9	43
2011.11.11.	61.76	21	13	34
2011.11.12.	80.0	16	4	20
2011.11.13.	80.0	16	4	20
2011.11.14.	61.54	8	5	13
2011.11.15.	50.0	4	4	8
2011.11.16.	13.64	3	19	22
2011.11.17.	28.57	2	5	7
2011.11.18.	62.5	5	3	8
2011.11.19.	50.0	1	1	2
2011.11.20.	40.0	2	3	5
2011.11.21.	28.57	2	5	7
