id	ratio	positive	negetive	num
2010.01.01.	100.0	1	0	1
2010.01.04.	73.33	11	4	15
2010.01.05.	55.56	5	4	9
2010.01.06.	58.33	7	5	12
2010.01.07.	25.0	1	3	4
2010.01.08.	50.0	2	2	4
2010.01.09.	100.0	1	0	1
2010.01.10.	100.0	3	0	3
2010.01.11.	80.0	4	1	5
2010.01.12.	55.56	5	4	9
2010.01.13.	25.0	1	3	4
2010.01.14.	60.0	3	2	5
2010.01.15.	50.0	1	1	2
2010.01.17.	0.0	0	0	0
2010.01.18.	50.0	4	4	8
2010.01.19.	42.86	3	4	7
2010.01.20.	57.14	8	6	14
2010.01.21.	100.0	3	0	3
2010.01.22.	50.0	2	2	4
2010.01.24.	100.0	2	0	2
2010.01.25.	50.0	1	1	2
2010.01.26.	62.5	5	3	8
2010.01.27.	33.33	2	4	6
2010.01.28.	66.67	4	2	6
2010.01.29.	0.0	0	5	5
2010.01.31.	100.0	1	0	1
2010.02.01.	50.0	3	3	6
2010.02.02.	90.0	9	1	10
2010.02.03.	90.0	9	1	10
2010.02.04.	66.67	2	1	3
2010.02.05.	0.0	0	0	0
2010.02.06.	100.0	1	0	1
2010.02.07.	0.0	0	0	0
2010.02.08.	71.43	5	2	7
2010.02.09.	100.0	4	0	4
2010.02.10.	60.0	3	2	5
2010.02.11.	57.14	4	3	7
2010.02.12.	50.0	11	11	22
2010.02.13.	50.0	1	1	2
2010.02.14.	0.0	0	1	1
2010.02.15.	100.0	1	0	1
2010.02.16.	33.33	4	8	12
2010.02.17.	80.0	8	2	10
2010.02.18.	71.43	5	2	7
2010.02.19.	40.0	2	3	5
2010.02.20.	0.0	0	1	1
2010.02.21.	50.0	1	1	2
2010.02.22.	0.0	0	2	2
2010.02.23.	60.0	3	2	5
2010.02.24.	50.0	1	1	2
2010.02.25.	75.0	3	1	4
2010.02.26.	33.33	1	2	3
2010.02.28.	100.0	1	0	1
2010.03.01.	100.0	1	0	1
2010.03.02.	66.67	2	1	3
2010.03.03.	0.0	0	4	4
2010.03.04.	0.0	0	0	0
2010.03.05.	66.67	2	1	3
2010.03.06.	100.0	2	0	2
2010.03.07.	100.0	1	0	1
2010.03.08.	100.0	3	0	3
2010.03.09.	66.67	2	1	3
2010.03.10.	50.0	1	1	2
2010.03.11.	50.0	1	1	2
2010.03.12.	100.0	1	0	1
2010.03.15.	33.33	1	2	3
2010.03.16.	66.67	2	1	3
2010.03.17.	83.33	5	1	6
2010.03.18.	50.0	1	1	2
2010.03.19.	25.0	1	3	4
2010.03.20.	50.0	1	1	2
2010.03.22.	66.67	2	1	3
2010.03.23.	100.0	2	0	2
2010.03.24.	50.0	1	1	2
2010.03.25.	60.0	3	2	5
2010.03.26.	100.0	4	0	4
2010.03.28.	50.0	1	1	2
2010.03.29.	80.0	4	1	5
2010.03.30.	25.0	1	3	4
2010.03.31.	33.33	1	2	3
2010.04.01.	100.0	6	0	6
2010.04.02.	80.0	4	1	5
2010.04.04.	50.0	1	1	2
2010.04.05.	76.92	10	3	13
2010.04.06.	46.15	6	7	13
2010.04.07.	0.0	0	1	1
2010.04.08.	100.0	4	0	4
2010.04.09.	71.43	5	2	7
2010.04.11.	0.0	0	0	0
2010.04.12.	100.0	5	0	5
2010.04.13.	100.0	2	0	2
2010.04.14.	62.5	5	3	8
2010.04.15.	50.0	1	1	2
2010.04.16.	50.0	3	3	6
2010.04.18.	80.0	4	1	5
2010.04.19.	50.0	2	2	4
2010.04.20.	0.0	0	2	2
2010.04.21.	0.0	0	2	2
2010.04.22.	50.0	1	1	2
2010.04.23.	90.0	9	1	10
2010.04.25.	33.33	1	2	3
2010.04.26.	84.62	11	2	13
2010.04.27.	50.0	1	1	2
2010.04.28.	62.5	5	3	8
