id	ratio	positive	negetive	num
2010.01.01.	100.0	1	0	1
2010.01.04.	81.82	18	4	22
2010.01.05.	35.71	10	18	28
2010.01.06.	22.58	7	24	31
2010.01.07.	22.22	2	7	9
2010.01.08.	0.0	0	6	6
2010.01.09.	100.0	1	0	1
2010.01.10.	66.67	2	1	3
2010.01.11.	56.52	13	10	23
2010.01.12.	46.15	6	7	13
2010.01.13.	20.0	1	4	5
2010.01.14.	22.22	2	7	9
2010.01.15.	44.44	4	5	9
2010.01.17.	0.0	0	1	1
2010.01.18.	31.25	5	11	16
2010.01.19.	42.11	8	11	19
2010.01.20.	27.5	11	29	40
2010.01.21.	46.67	7	8	15
2010.01.22.	50.0	2	2	4
2010.01.24.	66.67	2	1	3
2010.01.25.	25.0	1	3	4
2010.01.26.	54.55	12	10	22
2010.01.27.	20.0	2	8	10
2010.01.28.	25.0	4	12	16
2010.01.29.	0.0	0	5	5
2010.01.31.	100.0	1	0	1
2010.02.01.	16.67	3	15	18
2010.02.02.	43.75	7	9	16
2010.02.03.	57.14	8	6	14
2010.02.04.	60.0	3	2	5
2010.02.05.	50.0	1	1	2
2010.02.06.	100.0	1	0	1
2010.02.07.	0.0	0	1	1
2010.02.08.	7.14	1	13	14
2010.02.09.	42.86	6	8	14
2010.02.10.	33.33	5	10	15
2010.02.11.	54.55	6	5	11
2010.02.12.	59.09	26	18	44
2010.02.13.	50.0	1	1	2
2010.02.14.	0.0	0	1	1
2010.02.15.	33.33	1	2	3
2010.02.16.	22.22	4	14	18
2010.02.17.	50.0	14	14	28
2010.02.18.	28.57	4	10	14
2010.02.19.	25.0	3	9	12
2010.02.20.	0.0	0	2	2
2010.02.21.	0.0	0	16	16
2010.02.22.	50.0	1	1	2
2010.02.23.	25.0	2	6	8
2010.02.24.	58.33	7	5	12
2010.02.25.	15.38	2	11	13
2010.02.26.	25.0	1	3	4
2010.02.28.	100.0	1	0	1
2010.03.01.	100.0	2	0	2
2010.03.02.	63.64	7	4	11
2010.03.03.	0.0	0	6	6
2010.03.04.	100.0	1	0	1
2010.03.05.	50.0	2	2	4
2010.03.06.	50.0	1	1	2
2010.03.07.	0.0	0	1	1
2010.03.08.	33.33	1	2	3
2010.03.09.	10.0	1	9	10
2010.03.10.	0.0	0	3	3
2010.03.11.	100.0	2	0	2
2010.03.12.	50.0	1	1	2
2010.03.15.	18.18	2	9	11
2010.03.16.	50.0	2	2	4
2010.03.17.	30.0	3	7	10
2010.03.18.	25.0	1	3	4
2010.03.19.	8.33	1	11	12
2010.03.20.	0.0	0	3	3
2010.03.22.	50.0	3	3	6
2010.03.23.	50.0	2	2	4
2010.03.24.	66.67	2	1	3
2010.03.25.	55.56	10	8	18
2010.03.26.	30.0	3	7	10
2010.03.28.	50.0	1	1	2
2010.03.29.	55.56	5	4	9
2010.03.30.	16.67	2	10	12
2010.03.31.	18.75	3	13	16
2010.04.01.	53.33	8	7	15
2010.04.02.	41.67	5	7	12
2010.04.04.	0.0	0	3	3
2010.04.05.	36.73	18	31	49
2010.04.06.	45.0	9	11	20
2010.04.07.	0.0	0	1	1
2010.04.08.	75.0	3	1	4
2010.04.09.	21.43	3	11	14
2010.04.11.	0.0	0	1	1
2010.04.12.	50.0	7	7	14
2010.04.13.	70.0	7	3	10
2010.04.14.	35.0	7	13	20
2010.04.15.	18.75	3	13	16
2010.04.16.	12.5	1	7	8
2010.04.18.	60.0	3	2	5
2010.04.19.	0.0	0	13	13
2010.04.20.	0.0	0	3	3
2010.04.21.	11.11	1	8	9
2010.04.22.	0.0	0	2	2
2010.04.23.	58.33	14	10	24
2010.04.25.	33.33	1	2	3
2010.04.26.	40.0	14	21	35
2010.04.27.	33.33	1	2	3
2010.04.28.	40.0	4	6	10
2010.04.29.	30.0	6	14	20
2010.04.30.	7.69	1	12	13
2010.05.01.	50.0	1	1	2
2010.05.03.	50.0	9	9	18
2010.05.04.	36.36	4	7	11
2010.05.05.	0.0	0	1	1
2010.05.06.	9.09	1	10	11
2010.05.07.	40.91	9	13	22
2010.05.09.	0.0	0	4	4
2010.05.10.	60.87	14	9	23
2010.05.11.	30.0	3	7	10
2010.05.12.	22.22	2	7	9
2010.05.13.	27.27	3	8	11
2010.05.14.	80.0	4	1	5
2010.05.16.	0.0	0	2	2
2010.05.17.	54.55	12	10	22
2010.05.18.	21.43	3	11	14
2010.05.19.	22.22	2	7	9
2010.05.20.	23.08	3	10	13
2010.05.22.	0.0	0	2	2
2010.05.23.	100.0	4	0	4
