라벨링,등락률,기업명,기업코드,날짜,시가,고가,저가,종가,거래량
1,-4.964539007092199,컴투스,A078340,20210507,137500,143700,137300,141000,344148
1,-3.932203389830508,컴투스,A078340,20210430,167700,167700,143500,147500,1137881
1,-13.235294117647062,컴투스,A078340,20210429,172200,176700,162000,170000,544298
1,-3.1976744186046515,컴투스,A078340,20210416,175200,178600,171000,172000,129648
1,3.5265989240884634,컴투스,A078340,20210407,173700,173900,162800,167300,202639
1,-3.739930955120829,컴투스,A078340,20210406,165700,174500,164500,173800,179887
1,5.6534954407294835,컴투스,A078340,20210405,162900,166100,162900,164500,68360
1,3.2015065913371004,컴투스,A078340,20210324,156400,159300,155100,159300,66946
1,4.133333333333333,컴투스,A078340,20210318,149300,152000,149300,150000,81293
1,8.38192419825073,컴투스,A078340,20210312,137000,139300,135800,137200,72244
1,-2.92022792022792,컴투스,A078340,20210305,140700,142100,138800,140400,79165
1,-2.53077975376197,컴투스,A078340,20210303,141100,147200,141100,146200,93273
1,3.1029619181946404,컴투스,A078340,20210302,143000,145300,139100,141800,85777
1,-3.7552155771905427,컴투스,A078340,20210225,141700,144700,141700,143800,88167
1,-3.754266211604096,컴투스,A078340,20210223,150000,152000,145700,146500,138674
1,-3.6184210526315774,컴투스,A078340,20210222,159200,159200,151800,152000,127070
1,-4.58254865034526,컴투스,A078340,20210219,159500,160500,155600,159300,87537
1,-5.442583732057416,컴투스,A078340,20210208,156800,170000,156500,167200,253819
1,6.158730158730159,컴투스,A078340,20210205,159100,159600,155200,157500,100422
1,-3.0432136335970785,컴투스,A078340,20210203,162000,164300,159800,164300,107599
1,2.7517198248905568,컴투스,A078340,20210202,160100,163400,158200,159900,120209
1,-3.786057692307692,컴투스,A078340,20210128,167900,169000,163000,166400,191139
1,-3.0303030303030303,컴투스,A078340,20210127,173000,173900,170100,171600,102975
1,2.9958058717795084,컴투스,A078340,20210121,166300,169500,165200,166900,119944
1,2.5,컴투스,A078340,20210108,158700,161000,156800,160000,153553
1,4.852459016393444,컴투스,A078340,20201228,151200,153000,148000,152500,182727
1,4.284727021423636,컴투스,A078340,20201223,146100,148100,143800,144700,141826
1,-2.6143790849673203,컴투스,A078340,20201218,155700,156700,152900,153000,140844
1,3.6217303822937614,컴투스,A078340,20201209,152100,152900,149000,149100,144816
1,-4.15335463258786,컴투스,A078340,20201204,155100,159500,152100,156500,644037
